Location,Airport,Scenario,10-1-hr (in),10-2-hr (in),10-3-hr (in),10-6-hr (in),10-12-hr (in),10-24-hr (in),,100-1-hr (in),100-2-hr (in),100-3-hr (in),100-6-hr (in),100-12-hr (in),100-24-hr (in)
"Durham, NC",RDU,"GFDL-ESM2G, RCP 4.5, 2050-2080",2.48,3.28,3.51,4.02,4.55,5.58,,3.78,5.03,5.29,5.93,6.50,7.92
"Durham, NC",RDU,"GFDL-ESM2M, RCP 4.5, 2050-2080",2.15,2.79,3.04,3.55,4.18,5.12,,3.00,3.89,4.19,4.82,5.58,6.78
"Durham, NC",RDU,"IPSL-CM5A-MR, RCP 4.5, 2050-2080",2.02,2.61,2.86,3.35,4.01,4.90,,2.71,3.49,3.79,4.40,5.19,6.30
"San Antonio, TX",SAT,Atlas 14 St: SAN ANTONIO INTL AP,2.83,3.63,4.13,4.98,5.77,6.60,,4.26,5.83,6.93,8.79,10.50,12.10
"San Antonio, TX",SAT,"bcc-csm1-1-m, RCP 4.5, 2050-2080",2.41,3.31,3.86,4.59,5.07,6.61,,5.06,7.53,9.19,11.30,12.21,16.15
"San Antonio, TX",SAT,"CSIRO-Mk3-6-0, RCP 4.5, 2050-2080",3.02,4.20,4.89,5.86,6.46,8.02,,4.82,6.97,8.30,10.12,11.04,13.65
"San Antonio, TX",SAT,"GFDL-ESM2M, RCP 8.5, 2050-2080",2.88,4.02,4.71,5.64,6.21,7.88,,5.23,7.69,9.28,11.39,12.35,15.74
"San Francisco, CA",SFO,Atlas 14 St: SAN FRANCISCO WSO AP,0.80,1.15,1.43,2.05,2.80,3.85,,1.19,1.69,2.10,3.02,4.26,5.97
"San Francisco, CA",SFO,"CNRM-CM5, RCP 8.5, 2050-2080",0.86,1.25,1.55,2.20,2.80,4.35,,1.34,1.93,2.41,3.43,4.30,7.32
"San Francisco, CA",SFO,"GFDL-ESM2M, RCP 4.5, 2050-2080",0.81,1.17,1.42,2.01,2.61,3.81,,1.29,1.84,2.22,3.15,4.08,6.39
"San Francisco, CA",SFO,"IPSL-CM5A-MR, RCP 4.5, 2050-2080",0.72,1.03,1.26,1.77,2.32,3.24,,1.11,1.58,1.89,2.67,3.50,5.24
"Salt Lake City, UT",SLC,Atlas 14 St: SALT LAKE CITY NWSFO,0.81,0.96,1.05,1.27,1.56,1.88,,1.62,1.82,1.85,2.00,2.38,2.67
"Salt Lake City, UT",SLC,"CNRM-CM5, RCP 8.5, 2050-2080",0.97,1.18,1.20,1.34,1.70,2.05,,2.02,2.31,2.17,2.24,2.88,3.44
"Salt Lake City, UT",SLC,"GFDL-ESM2M, RCP 4.5, 2050-2080",0.80,1.00,1.11,1.31,1.62,2.00,,1.37,1.63,1.72,1.96,2.43,3.01
"Salt Lake City, UT",SLC,"IPSL-CM5A-MR, RCP 4.5, 2050-2080",0.75,0.95,1.07,1.28,1.57,1.95,,1.24,1.48,1.61,1.86,2.29,2.85
"St. Louis, MO",STL,Atlas 14 St: ST LOUIS LAMBERT AP,2.08,2.55,2.82,3.34,3.93,4.59,,3.11,3.87,4.37,5.32,6.37,7.43
"St. Louis, MO",STL,"CCSM4, RCP 8.5, 2050-2080",1.69,2.16,2.38,2.83,3.18,4.01,,2.67,3.58,3.92,4.78,5.23,6.71
"St. Louis, MO",STL,"GFDL-ESM2M, RCP 4.5, 2050-2080",1.88,2.45,2.69,3.24,3.60,4.73,,2.77,3.82,4.11,5.13,5.54,7.73
"St. Louis, MO",STL,"HadGEM2-CC, RCP 8.5, 2050-2080",1.90,2.47,2.71,3.26,3.63,4.70,,2.96,4.06,4.41,5.47,5.92,7.97
"Tampa, FL",TPA,Atlas 14 St: TAMPA WSCMO AP,2.89,3.61,4.01,4.61,5.19,6.29,,3.97,5.07,5.86,7.32,9.01,11.40
"Tampa, FL",TPA,"GFDL-ESM2G, RCP 4.5, 2050-2080",2.51,3.24,3.60,4.49,5.42,6.96,,4.06,5.37,6.12,8.12,10.00,11.33
"Tampa, FL",TPA,"GFDL-ESM2M, RCP 4.5, 2050-2080",2.41,3.11,3.46,4.36,5.26,6.83,,4.41,5.83,6.78,9.27,11.53,12.83
"Tampa, FL",TPA,"IPSL-CM5A-MR, RCP 4.5, 2050-2080",2.39,3.08,3.38,4.12,4.92,6.46,,3.86,5.10,5.79,7.55,9.22,10.54
